date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:17	795658/795658	U-----	200	untouched ('')	application/pdf	date:Wed,%2016%20Jun%202010%2021:53:56%20GMT	http://www.reportmill.com/support/graphing.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/graphing.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:18	596082/596082	U-----	200	untouched ('')	application/pdf	date:Tue,%2002%20Feb%202010%2022:31:07%20GMT	http://www.reportmill.com/support/forms.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/forms.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:18	364525/364525	U-----	200	untouched ('')	application/pdf	date:Thu,%2017%20Jun%202010%2018:30:13%20GMT	http://www.reportmill.com/support/CrossTab.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/CrossTab.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:18	75028/75028	U-----	200	untouched ('')	application/pdf	date:Tue,%2015%20Jun%202010%2021:54:55%20GMT	http://www.reportmill.com/support/keychains.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/keychains.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:18	235344/235344	U-----	200	untouched ('')	application/pdf	date:Fri,%2002%20Jul%202010%2022:41:24%20GMT	http://www.reportmill.com/support/Subreports.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Subreports.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:18	6343/6343	U-----	200	untouched ('OK')	text/html	date:Sun,%2023%20Apr%202006%2023:33:09%20GMT	http://www.reportmill.com/support/PropertyExpressions/index.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/PropertyExpressions/index.html	(from http://www.reportmill.com/support/DesDocs.html)
19:22:18	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2000:22:19%20GMT	http://www.reportmill.com/support/PropertyExpressions	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/PropertyExpressions	(from http://www.reportmill.com/support/DesDocs.html)
19:22:18	2259/2259	U-----	200	untouched ('OK')	text/html	date:Sat,%2016%20Nov%202013%2017:41:45%20GMT	http://www.reportmill.com/support/TableOfContents.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/TableOfContents.html	(from http://www.reportmill.com/support/DesDocs.html)
19:22:19	62140/62140	U-----	200	untouched ('')	application/pdf	date:Tue,%2002%20Feb%202010%2022:37:09%20GMT	http://www.reportmill.com/support/BasicApi.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/BasicApi.pdf	(from http://www.reportmill.com/support/DevDocs.html)
19:22:19	328/328	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Dec%202017%2000:22:20%20GMT	http://reportmill.com/support/rm9	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/rm9.html	(from http://www.reportmill.com/support/DevDocs.html)
19:22:19	3850/3850	U-----	200	untouched ('OK')	text/html	date:Wed,%2018%20Oct%202006%2017:56:41%20GMT	http://www.reportmill.com/support/JDBC.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/JDBC.html	(from http://www.reportmill.com/support/DevDocs.html)
19:22:19	38225/38225	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Apr%202006%2020:41:32%20GMT	http://www.reportmill.com/support/PropertyExpressions/PropExpr1.jpg	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/PropertyExpressions/PropExpr1.jpg	(from http://www.reportmill.com/support/PropertyExpressions/index.html)
19:22:19	6037/6037	U-----	200	untouched ('OK')	text/html	date:Thu,%2016%20Nov%202017%2000:16:44%20GMT	http://www.reportmill.com/support/RMListener.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/RMListener.html	(from http://www.reportmill.com/support/DevDocs.html)
19:22:20	20127/20127	---M--	200	added ('OK')	image/jpeg	date:Sun,%2023%20Apr%202006%2020:41:33%20GMT	http://www.reportmill.com/support/PropertyExpressions/PropExpr2.jpg	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/PropertyExpressions/PropExpr2.jpg	(from http://www.reportmill.com/support/PropertyExpressions/index.html)
19:22:20	8757/8757	U-----	200	untouched ('OK')	text/html	date:Mon,%2021%20Apr%202008%2016:14:53%20GMT	http://www.reportmill.com/support/CustomFunctions.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/CustomFunctions.html	(from http://www.reportmill.com/support/DevDocs.html)
19:22:20	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2000:22:21%20GMT	http://www.reportmill.com/support/imagesubstitution	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/imagesubstitution	(from http://www.reportmill.com/support/DevDocs.html)
19:22:20	14940/14940	U-----	200	untouched ('')	application/pdf	date:Fri,%2009%20Sep%202005%2018:09:27%20GMT	http://www.reportmill.com/support/FormattedStrings.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/FormattedStrings.pdf	(from http://www.reportmill.com/support/DevDocs.html)
19:22:20	3087/3087	---M--	200	added ('OK')	text/plain	date:Sat,%2016%20Nov%202013%2017:39:48%20GMT	http://www.reportmill.com/support/TableOfContents.rpt	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/TableOfContents.rpt	(from http://www.reportmill.com/support/TableOfContents.html)
